Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Street Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",5608.17,105346.17,28563.94,133910.11
Street Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,90474.15,25391.3,115865.45
Management Assistant,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,94596.9,26658.74,121255.64
Sr. Community Devl Spc 1,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,115510.53,32261.01,147771.54
Museum Guard,Fine Arts Museum,Culture & Recreation,0.0,9483.68,723.04,10206.72
Museum Guard,Fine Arts Museum,Culture & Recreation,0.0,29974.8,2292.57,32267.37
"Lieutenant, Fire Suppression",Fire Department,Public Protection,50051.91,236137.12,39435.27,275572.39
"Captain, Fire Suppression",Fire Department,Public Protection,84427.32,285990.75,42849.14,328839.89
EMT/Paramedic/Firefighter,Fire Department,Public Protection,13365.89,171625.49,33265.11,204890.6
Firefighter,Fire Department,Public Protection,44277.37,199665.55,33637.82,233303.37
Firefighter,Fire Department,Public Protection,73457.76,215761.29,31316.2,247077.49
EMT/Paramedic/Firefighter,Fire Department,Public Protection,28336.13,143184.57,24380.46,167565.03
EMT/Paramedic/Firefighter,Fire Department,Public Protection,9852.1,94009.96,18747.75,112757.71
EMT/Paramedic/Firefighter,Fire Department,Public Protection,8032.42,56076.55,11013.6,67090.15
Firefighter,Fire Department,Public Protection,0.0,33450.44,9000.09,42450.53
Architect,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,94738.74,22527.75,117266.49
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,81620.61,22964.35,104584.96
Architect,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,168926.68,45609.94,214536.62
Senior Account Clerk,Department Of Public Works,"Public Works, Transportation & Commerce",596.39,84376.72,23672.02,108048.74
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,148753.61,41198.03,189951.64
IS Engineer-Principal,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,30496.88,2333.01,32829.89
Program Support Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,83569.16,23669.93,107239.09
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",9291.68,90749.88,23573.48,114323.36
Information Systems Trainee,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,15537.54,1267.11,16804.65
Administrative Analyst,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,89119.31,25201.37,114320.68
Senior Stationary Engineer,Fine Arts Museum,Culture & Recreation,47786.29,169296.16,37493.4,206789.56
Firefighter,Fire Department,Public Protection,38778.39,189732.46,31469.63,221202.09
"Lieutenant, Fire Suppression",Fire Department,Public Protection,70417.13,251563.33,38944.0,290507.33
EMT/Paramedic/Firefighter,Fire Department,Public Protection,14275.22,148005.24,28931.32,176936.56
EMT/Paramedic/Firefighter,Fire Department,Public Protection,39987.99,216662.77,38353.47,255016.24
EMT/Paramedic/Firefighter,Fire Department,Public Protection,38033.25,197898.14,35550.4,233448.54
EMT/Paramedic/Firefighter,Fire Department,Public Protection,11484.59,157171.03,31276.85,188447.88
EMT/Paramedic/Firefighter,Fire Department,Public Protection,12115.92,89751.55,17218.15,106969.7
Firefighter,Fire Department,Public Protection,1186.82,34637.26,9013.84,43651.1
Health Program Coordinator 3,Homeless Services,Human Welfare & Neighborhood Development,0.0,125833.61,34641.3,160474.91
Behavioral Health Clinician,Homeless Services,Human Welfare & Neighborhood Development,0.0,116980.43,33066.69,150047.12
Arborist Technician Supervisor,Department Of Public Works,"Public Works, Transportation & Commerce",37068.82,166112.38,35859.79,201972.17
General Laborer Supervisor 1,Department Of Public Works,"Public Works, Transportation & Commerce",13453.07,112160.96,28734.9,140895.86
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",5061.25,85210.1,22971.7,108181.8
PS Aide to Prof,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,416.47,31.86,448.33
Cement Mason,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,11334.83,1036.52,12371.35
Administrative Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,188745.8,49688.32,238434.12
StdntDsgn Train2/Arch/Eng/Plng,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,46672.9,7152.48,53825.38
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,146509.44,40592.55,187101.99
Junior Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",2675.4,84984.31,23491.4,108475.71
Arborist Technician,Department Of Public Works,"Public Works, Transportation & Commerce",30857.36,142418.19,32204.03,174622.22
Construction Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",7799.8,144885.36,38206.49,183091.85
Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,109116.44,30773.65,139890.09
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,1189.8,91.01,1280.81
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,143229.08,40211.53,183440.61
Community Development Spec,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,55147.0,6414.45,61561.45
Security Guard,Fine Arts Museum,Culture & Recreation,0.0,32417.32,9236.41,41653.73
Stationary Engineer,Fine Arts Museum,Culture & Recreation,891.84,55786.36,9439.24,65225.6
Senior Human Resources Analyst,Fine Arts Museum,Culture & Recreation,0.0,134161.32,37213.11,171374.43
Stationary Engineer,Fine Arts Museum,Culture & Recreation,0.0,13760.5,1049.34,14809.84
Firefighter,Fire Department,Public Protection,57394.08,217467.62,33741.72,251209.34
Asst Chf of Dept (Fire Dept),Fire Department,Public Protection,173073.87,453158.59,60275.87,513434.46
"Lieutenant, Fire Suppression",Fire Department,Public Protection,152487.66,345260.36,42483.5,387743.86
EMT/Paramedic/Firefighter,Fire Department,Public Protection,25241.39,196723.61,34286.71,231010.32
Firefighter,Fire Department,Public Protection,50526.12,182139.03,28525.84,210664.87
Firefighter,Fire Department,Public Protection,1186.82,34637.26,8866.58,43503.84
Firefighter,Fire Department,Public Protection,1186.82,34558.14,9019.06,43577.2
Sr Payroll & Personnel Clerk,Homeless Services,Human Welfare & Neighborhood Development,1916.07,96592.91,26630.86,123223.77
Senior Human Resources Analyst,Homeless Services,Human Welfare & Neighborhood Development,0.0,123622.04,34375.83,157997.87
Administrative Analyst,Homeless Services,Human Welfare & Neighborhood Development,0.0,70602.7,20088.32,90691.02
Pr Administrative Analyst,Human Rights Commission,Human Welfare & Neighborhood Development,0.0,147199.22,40742.31,187941.53
General Laborer Supervisor 1,Department Of Public Works,"Public Works, Transportation & Commerce",1600.74,38529.12,10607.23,49136.35
Construction Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,15755.05,1974.79,17729.84
PS Aide to Prof,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,37803.89,11264.95,49068.84
Cement Mason,Department Of Public Works,"Public Works, Transportation & Commerce",4.17,65569.93,18425.54,83995.47
Truck Driver,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,3987.48,6582.03,10569.51
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,37474.24,11839.4,49313.64
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",1852.36,29119.6,5108.85,34228.45
Environmental Spec,Environment,Human Welfare & Neighborhood Development,0.0,49637.69,12933.33,62571.02
Security Guard,Fine Arts Museum,Culture & Recreation,0.0,124.95,9.49,134.44
Firefighter,Fire Department,Public Protection,43041.52,197348.84,33333.42,230682.26
EMT/Paramedic/Firefighter,Fire Department,Public Protection,0.0,89322.3,15163.7,104486.0
EMT/Paramedic/Firefighter,Fire Department,Public Protection,52030.0,221163.29,37139.1,258302.39
Firefighter,Fire Department,Public Protection,116287.81,272564.61,34530.21,307094.82
Firefighter,Fire Department,Public Protection,81729.95,222988.98,31264.53,254253.51
Executive Secretary 3,Homeless Services,Human Welfare & Neighborhood Development,0.0,110387.8,30947.98,141335.78
IT Operations Support Admin II,Homeless Services,Human Welfare & Neighborhood Development,203.04,86947.55,24419.72,111367.27
Senior Administrative Analyst,Homeless Services,Human Welfare & Neighborhood Development,0.0,111226.28,31150.19,142376.47
Dep Dir III,Homeless Services,Human Welfare & Neighborhood Development,0.0,101178.23,25082.46,126260.69
Manager I,Human Rights Commission,Human Welfare & Neighborhood Development,0.0,35761.98,6895.16,42657.14
EEO Senior Specialist,Human Resources,General Administration & Finance,0.0,112083.51,32204.97,144288.48
Testing Technician,Human Resources,General Administration & Finance,30.05,638.56,48.5,687.06
EEO Programs Specialist,Human Resources,General Administration & Finance,80.16,112845.47,31696.69,144542.16
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",19743.87,99298.9,23952.58,123251.48
Cement Mason,Department Of Public Works,"Public Works, Transportation & Commerce",1897.5,48314.05,12858.21,61172.26
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,142736.87,39565.52,182302.39
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,33334.28,7410.74,40745.02
Survey Associate,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,107022.82,30087.27,137110.09
Materials Testing Aide,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,71249.92,20075.53,91325.45
Manager I,Environment,Human Welfare & Neighborhood Development,0.0,156137.34,53025.8,209163.14
Environmental Spec,Environment,Human Welfare & Neighborhood Development,0.0,6749.85,1745.5,8495.35
Principal Environ Specialist,Environment,Human Welfare & Neighborhood Development,0.0,148132.08,40891.37,189023.45
Firefighter,Fire Department,Public Protection,50879.49,199153.21,31485.41,230638.62
"Battalion Chief, Fire Suppress",Fire Department,Public Protection,0.0,2299.3,1640.69,3939.99
"Lieutenant, Fire Suppression",Fire Department,Public Protection,0.0,56282.9,822.47,57105.37
"BdComm Mbr, Grp5,M$100/Mo",Fire Department,Public Protection,0.0,738.41,28.6,767.01
Firefighter,Fire Department,Public Protection,43617.89,195083.8,33202.69,228286.49
EMT/Paramedic/Firefighter,Fire Department,Public Protection,18407.61,108571.94,19834.91,128406.85
Health Worker 3,Homeless Services,Human Welfare & Neighborhood Development,0.0,69241.34,19423.35,88664.69
Manager IV,Homeless Services,Human Welfare & Neighborhood Development,0.0,191583.6,55844.07,247427.67
Senior Administrative Analyst,Homeless Services,Human Welfare & Neighborhood Development,0.0,112820.42,24100.31,136920.73
Management Assistant,Human Rights Commission,Human Welfare & Neighborhood Development,0.0,25220.0,7083.04,32303.04
Management Assistant,Human Resources,General Administration & Finance,0.0,22351.02,6159.01,28510.03
Manager IV,Human Resources,General Administration & Finance,0.0,185405.73,60071.03,245476.76
Prin Human Resources Analyst,Human Resources,General Administration & Finance,0.0,149168.12,41167.62,190335.74
Worker's Compensation Adjuster,Human Resources,General Administration & Finance,0.0,109116.4,30500.7,139617.1
Benefits Technician,Human Resources,General Administration & Finance,635.22,68860.78,19361.3,88222.08
Clerk,Human Resources,General Administration & Finance,146.59,70214.39,19249.97,89464.36
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",10707.77,91549.22,23654.24,115203.46
IS Business Analyst-Senior,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,67804.35,18830.35,86634.7
Manager III,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,169968.69,64774.24,234742.93
Disability Access Coordinator,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,192533.27,50516.34,243049.61
Plumber,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,5512.17,685.19,6197.36
Street Inspector Trainee,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,79693.81,22483.93,102177.74
"StdntDsgnTrain1, Arch/Eng/Plng",Department Of Public Works,"Public Works, Transportation & Commerce",0.0,31174.89,2388.29,33563.18
Firefighter,Fire Department,Public Protection,115099.84,271082.67,33525.45,304608.12
"Lieut,Fire Prev",Fire Department,Public Protection,118423.35,318952.51,43785.36,362737.87
"Lieutenant, Fire Suppression",Fire Department,Public Protection,63486.29,233943.51,35816.75,269760.26
Firefighter,Fire Department,Public Protection,45811.91,183338.48,28834.14,212172.62
Firefighter,Fire Department,Public Protection,59762.6,212371.45,31923.21,244294.66
Firefighter,Fire Department,Public Protection,0.0,168879.69,35304.49,204184.18
"Insp, Fire Dept",Fire Department,Public Protection,34784.6,205920.25,36417.13,242337.38
Firefighter,Fire Department,Public Protection,34112.0,183060.85,31692.49,214753.34
EMT/Paramedic/Firefighter,Fire Department,Public Protection,94953.7,265924.18,38728.67,304652.85
EMT/Paramedic/Firefighter,Fire Department,Public Protection,6797.9,121518.04,24781.4,146299.44
Firefighter,Fire Department,Public Protection,77675.11,211374.15,29357.35,240731.5
Firefighter,Fire Department,Public Protection,65022.52,197379.88,29028.47,226408.35
Testing Technician,Human Resources,General Administration & Finance,30.05,2191.4,169.03,2360.43
Manager III,Human Resources,General Administration & Finance,0.0,180792.01,68078.79,248870.8
EEO Senior Specialist,Human Resources,General Administration & Finance,0.0,145484.13,40288.55,185772.68
Program Specialist,Human Services,Human Welfare & Neighborhood Development,5634.77,112092.11,30064.7,142156.81
Junior Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,94911.31,26945.39,121856.7
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,116320.9,32290.43,148611.33
Survey Assistant II,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,106728.31,30056.69,136785.0
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,33965.63,5611.07,39576.7
Construction Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",2634.59,74926.62,20432.31,95358.93
Junior Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,787.2,218.65,1005.85
Publ Svc Aide-Asst to Prof,Environment,Human Welfare & Neighborhood Development,0.0,44495.43,13019.76,57515.19
"Invstgtor,Fire Dept",Fire Department,Public Protection,10839.34,188995.54,37285.59,226281.13
"Lieutenant, Fire Suppression",Fire Department,Public Protection,96.63,170678.1,35567.94,206246.04
"Lieutenant, Fire Suppression",Fire Department,Public Protection,3834.6,96652.39,4197.0,100849.39
"Lieut,Fire Prev",Fire Department,Public Protection,0.0,189875.36,39888.56,229763.92
"Lieut,Fire Invstgtn",Fire Department,Public Protection,23472.49,221725.11,41775.63,263500.74
Firefighter,Fire Department,Public Protection,61491.76,215810.39,33802.62,249613.01
EMT/Paramedic/Firefighter,Fire Department,Public Protection,71411.34,202243.28,29561.59,231804.87
Senior Human Resources Analyst,Human Resources,General Administration & Finance,0.0,134161.32,37266.05,171427.37
Social Work Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,106457.3,30003.09,136460.39
Manager IV,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,11285.79,861.99,12147.78
Assistant Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,127822.3,36023.02,163845.32
Chief Surveyor,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,123327.53,30360.14,153687.67
IS Business Analyst-Senior,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,139939.1,38807.17,178746.27
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",622.81,24657.65,6764.9,31422.55
Asphalt Worker,Department Of Public Works,"Public Works, Transportation & Commerce",1285.2,25451.55,1962.89,27414.44
PS Aide to Prof,Environment,Human Welfare & Neighborhood Development,0.0,14556.92,1125.86,15682.78
"Battalion Chief, Fire Suppress",Fire Department,Public Protection,102212.55,339352.12,51118.23,390470.35
"Lieutenant, Fire Suppression",Fire Department,Public Protection,54332.45,240006.14,39514.79,279520.93
"Battalion Chief, Fire Suppress",Fire Department,Public Protection,132561.95,370590.42,52004.93,422595.35
"Lieutenant, Fire Suppression",Fire Department,Public Protection,28820.93,199360.55,37750.01,237110.56
"Captain, Fire Suppression",Fire Department,Public Protection,260663.87,462114.14,46001.54,508115.68
"Lieutenant, Fire Suppression",Fire Department,Public Protection,217097.43,396214.27,40696.19,436910.46
EMT/Paramedic/Firefighter,Fire Department,Public Protection,89250.72,248759.55,36226.17,284985.72
Firefighter,Fire Department,Public Protection,65606.8,188602.64,27091.96,215694.6
Firefighter,Fire Department,Public Protection,126298.71,243079.91,26576.66,269656.57
Senior Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,127155.99,35864.34,163020.33
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,270.03,97942.98,27584.18,125527.16
Administrative Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,181100.37,48258.36,229358.73
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,132616.35,37302.65,169919.0
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",1275.27,60090.87,18602.48,78693.35
Truck Driver,Department Of Public Works,"Public Works, Transportation & Commerce",459.99,102597.71,28542.16,131139.87
Street Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,99698.04,27891.22,127589.26
Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,147148.23,37528.12,184676.35
Manager V,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,208627.41,65644.81,274272.22
Arborist Technician,Department Of Public Works,"Public Works, Transportation & Commerce",5205.99,26460.11,6275.94,32736.05
Plumber,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,22923.1,6489.45,29412.55
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",883.16,6851.03,529.42,7380.45
IS Business Analyst-Principal,Ethics Commission,General Administration & Finance,0.0,174375.34,46683.54,221058.88
Administrative Analyst,Ethics Commission,General Administration & Finance,0.0,109116.43,30756.32,139872.75
"Battalion Chief, Fire Suppress",Fire Department,Public Protection,45162.38,285671.1,49517.56,335188.66
Firefighter,Fire Department,Public Protection,12987.45,175760.35,34228.94,209989.29
Firefighter,Fire Department,Public Protection,64936.06,204183.86,28981.24,233165.1
Firefighter,Fire Department,Public Protection,104059.85,261829.01,33569.26,295398.27
"Captain, Fire Suppression",Fire Department,Public Protection,75163.96,280785.89,43748.33,324534.22
"Captain, Fire Suppression",Fire Department,Public Protection,107871.31,304867.3,42922.09,347789.39
"Captain, Emergency Med Svcs",Fire Department,Public Protection,7688.15,211179.89,43423.31,254603.2
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,122710.42,34506.58,157217.0
Senior Clerk Typist,Human Services,Human Welfare & Neighborhood Development,0.0,77541.04,21577.16,99118.2
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,1890.87,100102.42,27905.15,128007.57
HSA Social Worker,Human Services,Human Welfare & Neighborhood Development,0.0,81349.02,23012.14,104361.16
Program Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,108657.3,29820.56,138477.86
HSA Social Worker,Human Services,Human Welfare & Neighborhood Development,0.0,101165.02,28599.01,129764.03
Senior Clerk Typist,Human Services,Human Welfare & Neighborhood Development,0.0,77561.0,21998.68,99559.68
Senior Clerk Typist,Human Services,Human Welfare & Neighborhood Development,0.0,45412.9,12925.28,58338.18
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,77314.07,21990.77,99304.84
Street Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",6597.64,108365.65,28930.93,137296.58
Architect,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,168601.82,45484.91,214086.73
Street Inspector Trainee,Department Of Public Works,"Public Works, Transportation & Commerce",114.9,73939.75,20585.72,94525.47
Communications Dispatcher 1,Department Of Public Works,"Public Works, Transportation & Commerce",2688.1,61543.44,16925.77,78469.21
